Name,Country,Type,Ratings,Price_USD,Rating
Diplomatico Reserva Exclusiva ,Venezuela,Aged,1235,38.64,8.1
Pyrat XO ,Anguilla,Aged,655,23.73,6.3
Kraken Black Spiced ,Trinidad,Spiced,757,17.3,6.2
Plantation XO 20th Anniversary ,Caribbean,Aged,626,54.76,8.6
El Dorado 12-Year ,Guyana,Aged,647,36.11,7.8
Bacardi Superior ,Puerto Rico,Light,367,14.26,3.7
Ron Zacapa XO ,Guatemala,Aged,431,94.8,8.8
Ron Zacapa 23 Solera ,Guatemala,Aged,1108,50.7,7.7
Matusalem Gran Reserva 15-Year ,Dominican Republic,Aged,368,28.93,6.4
El Dorado Special Reserve 15-Year ,Guyana,Aged,479,52.61,8.1
Zaya Gran Reserva 12-Year ,Trinidad,Aged,425,30.99,7.5
Bacardi 8 ,Puerto Rico,Aged,300,24.99,6.8
Havana Club 3-Year ,Cuba,Light,277,14.47,5.6
Sailor Jerry Spiced ,US Virgin Islands,Spiced,425,22.85,6.4
Don Papa Small Batch ,Philippines,Aged,404,44.02,5.9
Santa Teresa 1796 ,Venezuela,Aged,287,34.14,7.6
Appleton Estate 12-Year ,Jamaica,Aged,390,37.36,7.1
Havana Club 7-Year ,Cuba,Aged,473,25.0,6.4
Angostura 1919 ,Trinidad,Aged,291,33.99,7.1
Dos Maderas PX 5+5 ,Barbados,Aged,317,46.59,7.6
Diplomatico Reserva ,Venezuela,Aged,298,34.88,6.7
Havana Club Anejo Especial ,Cuba,Gold,184,16.38,6.1
Captain Morgan Spiced ,Puerto Rico,Spiced,291,15.91,5.2
Bacardi Oakheart ,Puerto Rico,Spiced,343,14.03,5.7
El Dorado 21-Year ,Guyana,Aged,226,104.71,8.5
Mount Gay XO Extra Old ,Barbados,Aged,324,50.89,7.8
Ron Centenario 20-Year ,Costa Rica,Aged,168,39.99,8.2
Angostura 1824 ,Trinidad,Aged,166,78.48,7.8
Pusser's British Navy ,British Virgin Isles,Aged,192,27.93,7.0
Mount Gay Eclipse ,Barbados,Gold,204,17.66,6.4
Flor de Cana 18-Year ,Nicaragua,Aged,238,40.21,7.5
Dictador 12-Year ,Colombia,Aged,180,6.83,7.0
Flor de Cana 12-Year ,Nicaragua,Aged,225,25.19,7.0
Appleton Estate V/X ,Jamaica,Gold,221,21.36,6.1
Dictador 20-Year ,Colombia,Aged,159,11.38,7.4
Appleton Estate 21-Year ,Jamaica,Aged,131,105.4,8.3
Ron Millonario XO ,Peru,Aged,196,97.77,9.0
Barcelo Imperial ,Dominican Republic,Aged,242,33.77,7.0
Gosling's Black Seal ,Bermuda,Dark,241,32.37,6.7
Captain Morgan Black Spiced ,Puerto Rico,Spiced,165,22.77,6.2
Diplomatico Ambassador Selection ,Venezuela,Aged,125,223.15,9.1
Flor de Cana Gran Reserve 7 ,Nicaragua,Aged,156,16.07,6.6
Lamb's Navy ,Canada,Dark,75,18.3,5.0
Ron Quorhum 30-Year ,Dominican Republic,Aged,198,94.59,9.2
Plantation Barbados XO 20th Anniversary ,Caribbean,Aged,113,46.43,8.5
Malibu Coconut ,Canada,Flavored,278,22.09,4.4
Admiral Rodney Extra Old 12-Year ,St. Lucia,Aged,109,59.08,7.8
Matusalem Gran Reserva 23 ,Dominican Republic,Aged,108,55.99,7.1
Mount Gay Black Barrel ,Barbados,Dark,178,31.88,6.7
El Dorado 5-Year ,Guyana,Gold,82,23.67,6.3
Brugal Añejo ,Dominican Republic,Gold,161,16.47,5.7
Ron Botran Solera 1893 ,Guatemala,Aged,95,48.35,7.2
Pampero Aniversario Reserva Exclusiva ,Venezuela,Aged,235,26.6,7.2
Ron Millonario Reserva Especial 15 ,Peru,Aged,235,37.52,7.9
Captain Morgan Private Stock ,Puerto Rico,Gold,229,41.55,6.9
Barcelo Gran Anejo ,Dominican Republic,Aged,114,18.4,6.3
Gosling's Family Reserve Old ,Bermuda,Aged,114,66.72,8.0
Ron Cartavio XO ,Peru,Aged,111,91.69,8.4
Ron Centenario 25-Year ,Costa Rica,Aged,87,76.14,8.8
Zafra Master Reserve 21 ,Panama,Aged,139,59.91,8.3
Captain Morgan Dark ,Puerto Rico,Dark,203,23.66,4.5
Havana Club Selección de Maestros ,Cuba,Aged,199,51.9,7.5
Ron Abuelo Centuria ,Panama,Aged,99,147.9,8.9
Ron Abuelo 12 Anos Gran Reserva ,Panama,Aged,193,45.88,7.6
Myers's Original Dark ,Jamaica,Dark,184,29.05,5.8
Pampero Aniversario ,Venezuela,Aged,179,26.27,7.0
Legendario Elixir de Cuba ,Cuba,Gold,172,17.52,6.8
Ron Quorhum 23-Year ,Dominican Republic,Aged,84,72.97,7.9
Ron Abuelo 7 Anos Reserva Superior ,Panama,Aged,109,23.61,7.0
Diplomatico Añejo ,Venezuela,Gold,106,23.3,6.3
Pusser's British Navy 15-Year ,British Virgin Isles,Aged,104,61.43,8.0
Bacardi Carta Blanca ,Puerto Rico,Light,104,17.37,2.8
Kaniche XO ,Barbados,Aged,103,66.53,7.8
Vizcaya VXOP 21 ,Dominican Republic,Aged,102,38.99,8.0
Brugal 1888 ,Dominican Republic,Gold,150,53.68,7.6
Opthimus 15-Year ,Dominican Republic,Aged,57,7.13,6.9
Havana Club Anejo Reserva ,Cuba,Gold,140,28.44,6.4
Bacardi Limon ,Puerto Rico,Flavored,92,27.68,3.7
Bacardi Black ,Puerto Rico,Dark,133,31.74,4.2
Mount Gay 1703 Old Cask ,Barbados,Aged,88,44.31,8.2
Dictador XO Insolent ,Colombia,Aged,63,111.39,8.4
English Harbour 5-Year ,Antigua,Aged,82,24.96,6.7
Doorly's XO ,Barbados,Aged,120,40.13,7.1
El Dorado 8-Year ,Guyana,Aged,118,25.07,7.0
Punta Cana XOX ,Dominican Republic,Aged,58,50.42,8.6
Plantation 3 Stars Artisanal ,Caribbean,Light,115,19.44,7.4
Bacardi 151 ,Puerto Rico,Overproof,113,54.83,4.0
Appleton Estate Reserve ,Jamaica,Gold,75,25.77,6.5
Barbancourt 5 Star Reserve Especiale 8-Year ,Haiti,Aged,112,39.86,6.7
Angostura 7-Year ,Trinidad,Aged,55,22.77,6.4
Diplomatico 2000 Single Vintage ,Venezuela,Aged,109,114.06,9.2
Ron Malteco 15-Year ,Guatemala,Aged,72,37.59,7.5
Presidente 15-Year ,Dominican Republic,Aged,71,42.03,8.1
Atlantico Private Cask ,Dominican Republic,Aged,106,41.26,6.8
Arcane Extraroma ,Mauritius,Aged,105,42.7,7.4
